sasdate_t,sasdate_tp1,n_R1,n_R2,n_R3,n_R4,n_R5
2019-07-01,2019-08-01,5,8,4,7,5
2019-08-01,2019-09-01,6,3,6,5,5
2019-09-01,2019-10-01,5,7,8,7,10
2019-10-01,2019-11-01,7,3,6,9,2
2019-11-01,2019-12-01,7,10,8,7,6
2019-12-01,2020-01-01,9,4,9,8,3
2020-01-01,2020-02-01,5,4,6,10,11
2020-02-01,2020-03-01,3,10,6,9,6
2020-03-01,2020-06-01,6,8,8,13,6
2020-06-01,2020-07-01,11,8,7,9,11
2020-07-01,2020-08-01,9,13,9,7,8
2020-08-01,2020-09-01,8,11,11,7,9
2020-09-01,2020-10-01,12,6,12,11,5
2020-10-01,2020-11-01,7,8,11,12,7
2020-11-01,2020-12-01,12,9,11,8,5
2020-12-01,2021-01-01,13,13,4,11,5
2021-01-01,2021-02-01,7,6,12,16,5
2021-02-01,2021-03-01,7,10,14,7,8
2021-03-01,2021-04-01,10,13,8,8,7
2021-04-01,2021-05-01,10,12,8,7,8
2021-05-01,2021-06-01,12,5,14,6,9
2021-06-01,2021-07-01,10,11,9,6,10
2021-07-01,2021-08-01,6,14,10,7,8
2021-08-01,2021-09-01,12,11,7,11,5
2021-09-01,2021-10-01,7,13,8,7,11
2021-10-01,2021-11-01,6,10,15,8,7
2021-11-01,2021-12-01,9,8,8,6,15
2021-12-01,2022-01-01,14,8,6,8,9
2022-01-01,2022-02-01,9,7,5,8,15
2022-02-01,2022-03-01,5,8,7,7,1
2022-03-01,2022-04-01,14,5,5,12,9
2022-04-01,2022-05-01,11,5,13,12,5
2022-05-01,2022-06-01,6,7,10,8,15
2022-06-01,2022-07-01,10,9,11,8,8
2022-07-01,2022-08-01,5,11,9,8,13
2022-08-01,2022-09-01,9,9,10,3,14
2022-09-01,2022-10-01,8,14,8,8,7
2022-10-01,2022-11-01,7,12,3,19,5
2022-11-01,2022-12-01,5,6,18,11,5
2022-12-01,2023-01-01,7,8,14,9,5
2023-01-01,2023-02-01,7,6,6,18,8
2023-02-01,2023-03-01,8,7,15,4,12
2023-03-01,2023-04-01,7,15,11,5,8
2023-04-01,2023-05-01,5,11,8,9,13
2023-05-01,2023-06-01,5,9,8,10,14
2023-06-01,2023-07-01,11,6,5,14,9
2023-07-01,2023-08-01,5,7,17,11,6
2023-08-01,2023-09-01,12,6,8,14,4
2023-09-01,2023-10-01,5,10,4,4,5
2023-10-01,2023-11-01,10,13,8,6,8
2023-11-01,2023-12-01,10,8,4,7,17
2023-12-01,2024-01-01,8,8,5,12,13
2024-01-01,2024-02-01,8,9,9,10,10
2024-02-01,2024-03-01,8,8,9,5,15
2024-03-01,2024-04-01,8,6,9,9,13
2024-04-01,2024-05-01,12,7,8,10,9
2024-05-01,2024-06-01,12,3,10,9,11
2024-06-01,2024-07-01,6,3,2,6,8
2024-07-01,2024-08-01,8,4,3,5,4
2024-08-01,2024-09-01,5,6,4,3,6
