Date,sasdate_t,ret_lo_2,ret_lo_3,ret_lo_4,ret_spy,ret_ew
2019-08-01,2019-07-01,-0.0361632859825477,-0.04636062344862715,-0.03826686878989803,0.0324075950352407,-0.018125751714026243
2019-09-01,2019-08-01,0.04752620221890075,0.04186984370441902,0.03846404069193333,-0.0392779532888584,0.01258654814765953
2019-10-01,2019-09-01,-0.005665578362580255,0.0004902361032543615,0.006556455659151882,0.019849435648644,0.00936623073797406
2019-11-01,2019-10-01,0.03403557745345352,0.01657097111846741,0.0214894392697146,0.0129660375715678,0.016060516478892027
2019-12-01,2019-11-01,0.03934051123350119,0.025652812698508075,0.025652812698508075,-0.0551665221517622,-0.0011675811706422594
2020-01-01,2019-12-01,0.07023977012539837,0.04201730223964154,0.041717051315427606,0.038184553505199,0.014896859270019047
2020-02-01,2020-01-01,0.04778136675273552,0.04575101530560124,0.04597494645936589,0.0087969606157003,0.02957714547974986
2020-03-01,2020-02-01,-0.008836826258424862,-0.014057893442733426,-0.01390483582520645,-0.0441980652843192,-0.028909618170664682
2020-06-01,2020-03-01,0.041707153853302044,0.0349810084355381,0.031166067863280626,0.0003945109110934,0.023516605908824467
2020-07-01,2020-06-01,0.014291307505187808,0.006125871948285854,0.002118702366427222,-0.0386279788344161,0.011392643871466318
2020-08-01,2020-07-01,-0.00378528501588351,0.0071376601343432575,0.02488499473918452,-0.0536375227744709,-0.00887533151769367
2020-09-01,2020-08-01,-0.052976483373359626,-0.05835080860801034,-0.05835080860801034,-0.0678365238409518,-0.03513473616450844
2020-10-01,2020-09-01,0.05734812919343141,0.07228989457401469,0.064151583407089,-0.05926021930951,0.030572776048597337
2020-11-01,2020-10-01,-0.010455946178979634,-0.009290395120441483,-0.00841304371721234,-0.076866332578211,-0.0147852611711588
2020-12-01,2020-11-01,-0.030153311068231888,-0.047511760610666934,-0.04783133467371396,0.0022719125522436,-0.01138729385742942
2021-01-01,2020-12-01,-0.047580012014485425,-0.05055572010479671,-0.05055572010479671,0.0008712708450544,-0.01806313841448618
2021-02-01,2021-01-01,0.03639503716886736,0.031312514838468655,0.016216917941621344,0.0085837778706179,0.0011476612399253503
2021-03-01,2021-02-01,-0.01181270451859107,-0.0143878521936699,-0.01652645744286626,-0.0600131453193555,-0.0070639741798797315
2021-04-01,2021-03-01,-0.027470188696314922,-0.028301123566047068,-0.028301123566047068,-0.0686921731369991,-0.006491200862852979
2021-05-01,2021-04-01,-0.020146076908602893,-0.019239815722825192,-0.0196430792085246,-0.012491005336397,-0.01741360274228072
2021-06-01,2021-05-01,0.013942774947680191,0.010745809514629452,0.010745809514629452,-0.0793984657726796,0.00263520338854041
2021-07-01,2021-06-01,0.032369832872358374,0.018375188728313355,0.008259702520364696,0.0803346608830619,0.021463529391666458
2021-08-01,2021-07-01,-0.03427779965238595,-0.028707458967891706,-0.020853569499762636,0.0207340646601708,-0.01565831663718511
2021-09-01,2021-08-01,-0.006021299789433778,-0.027465147877782738,-0.019391509436733588,-0.0463584607381799,-0.00824529667203205
2021-10-01,2021-09-01,-0.06486179767975031,-0.0532351360983304,-0.05329648297406657,0.0471962170691966,-0.02103424468270451
2021-11-01,2021-10-01,-0.0025184597160202004,0.005465502355737178,0.006722741645330419,-0.0099959474967623,0.020707430670181784
2021-12-01,2021-11-01,-0.0058836788014656706,0.0035189317446756036,0.011875074698473938,-0.0322348922001765,0.024358471943097298
2022-01-01,2021-12-01,0.053232442665016665,0.0585349731242388,0.057998122085697934,0.0283733178644649,0.039817999983671075
2022-02-01,2022-01-01,-0.00888013591409955,-0.00888013591409955,-0.00888013591409955,-0.0398400719613177,-0.004780528429748829
2022-03-01,2022-02-01,-0.01386352418786179,-0.002582032049647586,-0.004207078488344283,-0.0174330802476869,0.00765300717270508
2022-04-01,2022-03-01,-0.029176118575425982,-0.02260551940675688,-0.017645654657688466,0.0150175526671165,0.0160103004764969
2022-05-01,2022-04-01,-0.012604647487851475,0.0014069916649428003,0.0010078421552000144,0.0284652245182739,-0.0012367302230592715
2022-06-01,2022-05-01,-0.018889673214696825,-0.011519939140618305,-0.013962834350960664,0.0530525131600037,0.025228614625867278
2022-07-01,2022-06-01,-0.02038694209928426,-0.021865712912552075,-0.02721769071948567,0.0553797335302397,-0.00884580959896297
2022-08-01,2022-07-01,0.024358490727404793,0.03516487574847975,0.026518063379021732,-0.0529597863137506,-0.012506989987243328
2022-09-01,2022-08-01,0.029195595103626584,0.03141375538535634,0.029345331456179208,0.0086192749043712,0.009254726592085719
2022-10-01,2022-09-01,-0.026336796626510787,-0.009269182378352527,-0.006102183467962475,-0.0542165898272667,-0.006466832953040921
2022-11-01,2022-10-01,0.08561777557603076,0.08869039826489893,0.07841445318717284,0.0290933659681262,0.023819435371675322
2022-12-01,2022-11-01,0.04758707642244843,0.03469933453372948,0.030909095099965977,-0.0405961860146318,0.011489828430039293
2023-01-01,2022-12-01,-0.03737502411129438,-0.023909327299532646,-0.01516730087094278,0.005981846902499,-0.012543689484781458
2023-02-01,2023-01-01,0.028427751205105507,0.028740982207248786,0.028740982207248786,0.0453165832697559,-0.0020544104684976404
2023-03-01,2023-02-01,0.015590343896701327,0.01769451357999782,0.016353275555857576,0.0420157285009323,0.032194635107593995
2023-04-01,2023-03-01,-0.03004992746694658,-0.03788256356877238,-0.03515108672724558,-0.0218447049812975,-0.013857320070736751
2023-05-01,2023-04-01,0.011864400961222606,0.013558002875453244,0.013558002875453244,0.024644483981002,-0.029950656093443044
2023-06-01,2023-05-01,0.01535525006022807,0.025611742208035995,0.02875350518720394,0.0111269001193721,0.01871750285330212
2023-07-01,2023-06-01,0.03240831431597821,0.016180713964439167,0.012349068714384763,0.0792761606642014,0.0039902815663292995
2023-08-01,2023-07-01,-0.0031544067754678204,-0.017147771650339927,-0.0029366964591230563,0.1005009687164946,0.0023786458539135982
2023-09-01,2023-08-01,-0.03210963320842439,-0.0225186112735066,-0.025699942814456388,0.0134502701669074,-0.009778797913245141
2023-10-01,2023-09-01,-0.009850695090669435,0.008345924202479198,0.005725917146894914,-0.0151560714831266,0.00274723957748912
2023-11-01,2023-10-01,0.0026088685464417454,-0.004377498653678688,-0.015887938463757995,-0.0279474329607858,-0.007201136056496429
2023-12-01,2023-11-01,-0.0010848850117372646,-0.014886505769556633,-0.013488108246985146,0.0492701544717408,-0.01018858392663895
